date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180909 115305.34;1;2.28;Faible;0.09416639932;87347.3229217981;-61.66306968;16.04515649;-0.41796875;VOLCTECT;2018/09/09/ovsg2018rtqxjo;manual;earthquake;WGS84;VR;20180909T115305.34;2018-09#280
20180909 121930.36;1;2.1;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtrudx;manual;earthquake;WGS84;VR;20180909T121930.36;2018-09#283
20180909 123340.98;1;3;Faible;0.2342063994;141680.342841657;-61.66070067;16.04453161;-0.7109375;VOLCTECT;2018/09/09/ovsg2018rtsgjq;manual;earthquake;WGS84;VR;20180909T123340.98;2018-09#281
20180909 133226.28;1;1.98;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtuezy;manual;earthquake;WGS84;VR;20180909T133226.28;2018-09#288
20180909 140337.14;1;2.52;Faible;;;-61.755;16.0893;3;VOLCTECT;2018/09/09/ovsg2018rtvfvp;manual;not locatable;WGS84;VR;20180909T140337.14;2018-09#285
20180909 140420.64;1;2.04;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtvgmr;manual;earthquake;WGS84;VR;20180909T140420.64;2018-09#289
20180909 142614.82;1;3.72;Faible;0.2331753292;141176.689512779;-61.66306968;16.04473991;-1.12109375;VOLCTECT;2018/09/09/ovsg2018rtvzkc;manual;earthquake;WGS84;VR;20180909T142614.82;2018-09#286
20180909 143157.36;1;2.58;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtwehk;manual;earthquake;WGS84;VR;20180909T143157.36;2018-09#290
20180909 143608.28;1;3.36;Faible;;;-61.703;15.979;0;VOLCTECT;2018/09/09/ovsg2018rtwhxn;manual;not locatable;WGS84;VR;20180909T143608.28;2018-09#287
20180909 153415.48;1;3.54;Faible;0.02649465238;69142.0064938439;-61.6624236;16.04369848;-0.7109375;VOLCTECT;2018/09/09/ovsg2018rtyfzd;manual;earthquake;WGS84;VR;20180909T153415.48;2018-09#292
20180909 200347.88;1;2.28;Faible;-0.2236305688;29144.3347673357;-61.66263896;16.0434902;-0.88671875;VOLCTECT;2018/09/09/ovsg2018ruhegb;manual;earthquake;WGS84;VR;20180909T200347.88;2018-09#297
20180909 230547.94;2;3.24;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/09/ovsg2018runfcc;automatic;;WGS84;ABU;20180909T230547.94;2018-09#302
20180910 000336.96;2;3.3;Faible;;;-61.5817;16.1075;0;VOLCEMB;2018/09/10/ovsg2018rupcwj;manual;not locatable;WGS84;ABU;20180910T000336.96;2018-09#306
20180910 000538.22;1;3.24;Faible;0.1379156452;101595.265076592;-61.66306968;16.04473991;-0.53515625;VOLCTECT;2018/09/10/ovsg2018rupeqr;manual;earthquake;WGS84;VR;20180910T000538.22;2018-09#308
20180910 001238.94;3;4.38;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/10/25/ovsg2018rupkrm;manual;earthquake;WGS84;ABU;20180910T001238.94;2018-09#309
20180910 001312.06;1;2.1;Faible;-0.2433674802;27223.8021407329;-61.6617775;16.04349019;-0.30078125;VOLCTECT;2018/09/10/ovsg2018rupldv;manual;earthquake;WGS84;VR;20180910T001312.06;2018-09#307
20180910 011309.72;1;2.46;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/10/ovsg2018rurkvj;manual;earthquake;WGS84;CL;20180910T011309.72;2018-09#321
20180910 030709.06;1;2.34;Faible;-0.06455662797;50485.313568684;-61.66436188;16.0434902;-0.76953125;VOLCTECT;2018/09/10/ovsg2018ruvfbn;manual;earthquake;WGS84;CL;20180910T030709.06;2018-09#325
